step:106/1794 for epoch:1/12 | train loss:2.5618 | train acc:0.1406 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:107/1794 for epoch:1/12 | train loss:2.5877 | train acc:0.1016 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:108/1794 for epoch:1/12 | train loss:2.5865 | train acc:0.1328 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:109/1794 for epoch:1/12 | train loss:2.5810 | train acc:0.1172 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:110/1794 for epoch:1/12 | train loss:2.5833 | train acc:0.1094 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:111/1794 for epoch:1/12 | train loss:2.6061 | train acc:0.1016 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:112/1794 for epoch:1/12 | train loss:2.5670 | train acc:0.0938 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:113/1794 for epoch:1/12 | train loss:2.5812 | train acc:0.1094 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:114/1794 for epoch:1/12 | train loss:2.5864 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:115/1794 for epoch:1/12 | train loss:2.6328 | train acc:0.1094 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:116/1794 for epoch:1/12 | train loss:2.5749 | train acc:0.1406 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:117/1794 for epoch:1/12 | train loss:2.5328 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:118/1794 for epoch:1/12 | train loss:2.6154 | train acc:0.1094 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:119/1794 for epoch:1/12 | train loss:2.6073 | train acc:0.0703 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:120/1794 for epoch:1/12 | train loss:2.6146 | train acc:0.1172 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:121/1794 for epoch:1/12 | train loss:2.5834 | train acc:0.1094 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:122/1794 for epoch:1/12 | train loss:2.5372 | train acc:0.1406 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:123/1794 for epoch:1/12 | train loss:2.5721 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:124/1794 for epoch:1/12 | train loss:2.5810 | train acc:0.1328 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:125/1794 for epoch:1/12 | train loss:2.5725 | train acc:0.1016 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:126/1794 for epoch:1/12 | train loss:2.5570 | train acc:0.0938 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:127/1794 for epoch:1/12 | train loss:2.5407 | train acc:0.0938 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:128/1794 for epoch:1/12 | train loss:2.5901 | train acc:0.1172 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:129/1794 for epoch:1/12 | train loss:2.5328 | train acc:0.0938 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:130/1794 for epoch:1/12 | train loss:2.5174 | train acc:0.1484 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:131/1794 for epoch:1/12 | train loss:2.4875 | train acc:0.1797 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:132/1794 for epoch:1/12 | train loss:2.5783 | train acc:0.1016 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:133/1794 for epoch:1/12 | train loss:2.5889 | train acc:0.0547 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:134/1794 for epoch:1/12 | train loss:2.5365 | train acc:0.1172 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:135/1794 for epoch:1/12 | train loss:2.5449 | train acc:0.1484 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:136/1794 for epoch:1/12 | train loss:2.6127 | train acc:0.1016 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:137/1794 for epoch:1/12 | train loss:2.6156 | train acc:0.1094 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
